ligand,receptor,species
PLAU,IGF2R,Human
IGF2,IGF2R,Human
ADIPOQ,ADIPOR2,Human
TNF,PTPRS,Human
HSPG2,PTPRS,Human
RARRES2,CCRL2,Human
CCL5,CCRL2,Human
CORT,SSTR2,Human
CCL25,CCR9,Human
PDYN,GRM7,Human
AGT,GRM7,Human
CXCL12,GRM7,Human
CCL5,GRM7,Human
NMS,GRM7,Human
APLN,GRM7,Human
NPY,GRM7,Human
CCL25,GRM7,Human
POMC,GRM7,Human
SAA1,GRM7,Human
PYY,GRM7,Human
CCL16,GRM7,Human
CXCL2,GRM7,Human
CXCL1,GRM7,Human
PPY,GRM7,Human
CXCL9,GRM7,Human
CCL20,GRM7,Human
CCL28,GRM7,Human
RLN3,GRM7,Human
CORT,GRM7,Human
ANXA1,GRM7,Human
EFNA3,EPHA2,Human
EFNA1,EPHA2,Human
EFNA4,EPHA2,Human
SEMA4D,PLXNB1,Human
SEMA4A,PLXNB1,Human
AVP,AVPR2,Human
GNAS,AVPR2,Human
TGFB2,TGFBR2,Human
S100A10,TRPV6,Human
ADM,CALCR,Human
ADM2,CALCR,Human
CALCB,CALCR,Human
MBL2,CALCR,Human
GSTO1,RYR1,Human
TNFSF13B,TFRC,Human
TF,TFRC,Human
B2M,TFRC,Human
VEGFC,NRP2,Human
SEMA3B,NRP2,Human
VEGFA,NRP2,Human
PGF,NRP2,Human
CXCL2,DPP4,Human
ADCYAP1,DPP4,Human
GCG,DPP4,Human
CXCL9,DPP4,Human
NPPB,DPP4,Human
CXCL12,DPP4,Human
NPY,DPP4,Human
VIP,DPP4,Human
ADA,DPP4,Human
MMP9,TLR9,Human
HRAS,TLR9,Human
NTF3,NTRK3,Human
NPY,NPY1R,Human
PPY,NPY1R,Human
B2M,CD247,Human
COL4A6,CD47,Human
LGALS9,CD47,Human
COL4A4,CD47,Human
COL4A3,CD47,Human
THBS2,CD47,Human
COL4A1,CD47,Human
CD55,CR1,Human
C4A,CR1,Human
C4B,CR1,Human
C1QA,CR1,Human
AVP,AVPR1B,Human
GNAS,ADORA1,Human
PSAP,GPR37L1,Human
AFDN,NECTIN4,Human
ASIP,F11R,Human
AFDN,F11R,Human
CCL5,ACKR1,Human
CCL14,ACKR1,Human
CCL7,ACKR1,Human
CXCL1,ACKR1,Human
CCL8,ACKR1,Human
B2M,CD1B,Human
PSAP,CD1B,Human
RLN3,RXFP4,Human
IL6,IL6R,Human
NPPC,NPR1,Human
NPPB,NPR1,Human
NPPA,NPR1,Human
AFDN,EPHA7,Human
EFNA4,EPHA7,Human
COL2A1,ITGA10,Human
CEACAM16,TECTB,Human
CD58,CD2,Human
CD59,CD2,Human
TNFSF15,TNFRSF6B,Human
TNFSF14,TNFRSF6B,Human
NMB,BRS3,Human
EDN1,ADGRL4,Human
MDK,TSPAN1,Human
GDF9,BMPR1A,Human
BMP7,BMPR1A,Human
BMP8B,BMPR1A,Human
BMP2,BMPR1A,Human
GDF5,BMPR1A,Human
TNFSF13B,CD40,Human
LTB,CD40,Human
ANGPTL2,TIE1,Human
ANGPT4,TIE1,Human
ANGPT1,TIE1,Human
NTF4,BEX3,Human
BDNF,BEX3,Human
MDK,SDC4,Human
CXCL12,SDC4,Human
CCL5,SDC4,Human
LAMA1,SDC4,Human
EFNA4,EPHA10,Human
BMP7,ENG,Human
GDF2,ENG,Human
BMP2,ENG,Human
GCG,GLP1R,Human
TAC3,TACR2,Human
CXCL12,CXCR3,Human
CCL5,CXCR3,Human
CCL7,CXCR3,Human
CCN1,TLR4,Human
HSPA1A,TLR4,Human
IRAK4,TLR4,Human
ZG16B,TLR4,Human
RIMS1,SLC18A3,Human
NPY,NPY4R,Human
PPY,NPY4R,Human
ALOX5AP,ALOX5,Human
AGRN,MUSK,Human
COLQ,MUSK,Human
ADIPOQ,CNR2,Human
CCL4,CNR2,Human
GDF9,BMPR2,Human
BMP7,BMPR2,Human
GDF2,BMPR2,Human
BMP2,BMPR2,Human
RGMA,BMPR2,Human
VEGFA,EPHB2,Human
AFDN,EPHB2,Human
PSAP,AR,Human
PLTP,ABCA1,Human
GDF9,TGFBR1,Human
HLA-C,NOTCH4,Human
LTA,TNFRSF1B,Human
TNF,TNFRSF1B,Human
GDNF,EDNRB,Human
EDN1,EDNRB,Human
ADCYAP1,GPR20,Human
ADM,GPR20,Human
POMC,GPR20,Human
CGA,GPR20,Human
GCG,GPR20,Human
RLN2,GPR20,Human
CALCB,GPR20,Human
AVP,GPR20,Human
RLN3,GPR20,Human
ADM2,GPR20,Human
PTHLH,GPR20,Human
NPS,GPR20,Human
FSHB,GPR20,Human
INSL3,GPR20,Human
NPNT,ITGA8,Human
AGRN,LRP4,Human
NRG1,LGR4,Human
TNFSF11,LGR4,Human
MEPE,PHEX,Human
ANGPT4,TEK,Human
ANGPT1,TEK,Human
COL8A2,SLC4A11,Human
NMB,GRPR,Human
SPTBN2,PTPRA,Human
NCAM1,PTPRA,Human
IRAK4,TLR7,Human
MDK,SDC1,Human
CCL5,SDC1,Human
SLIT2,SDC1,Human
IL6,IL6ST,Human
NPS,NPSR1,Human
LAMA1,TMPRSS6,Human
B2M,KLRC2,Human
HLA-G,KLRD1,Human
B2M,KLRD1,Human
HLA-B,KLRD1,Human
LRPAP1,VLDLR,Human
APOC1,VLDLR,Human
RELN,VLDLR,Human
APOC4,VLDLR,Human
GDF2,ACVRL1,Human
ALKAL2,ALK,Human
MDK,ALK,Human
EFNA4,EPHA6,Human
HLA-G,KIR3DL1,Human
B2M,KIR3DL1,Human
HLA-A,KIR3DL1,Human
HLA-B,KIR3DL1,Human
HLA-G,LILRB2,Human
B2M,LILRB2,Human
HLA-A,LILRB2,Human
INS,LILRB2,Human
HLA-B,LILRB2,Human
CEACAM16,TECTA,Human
MDK,PTPRZ1,Human
QRFP,QRFPR,Human
CCL5,GPR75,Human
TNF,VSIR,Human
VEGFC,ITGB1,Human
LAMA2,ITGB1,Human
LAMB2,ITGB1,Human
NPNT,ITGB1,Human
DSPP,ITGB1,Human
MDK,ITGB1,Human
COL4A4,ITGB1,Human
RELN,ITGB1,Human
COL4A3,ITGB1,Human
ADAM9,ITGB1,Human
CHAD,ITGB1,Human
ANGPT1,ITGB1,Human
VEGFA,ITGB1,Human
SEMA4D,CD72,Human
MDK,ITGA4,Human
IL6,HRH1,Human
CCN1,ITGB2,Human
SPON2,ITGB2,Human
ICAM2,ITGB2,Human
TNF,TRPM2,Human
FGF1,FGFRL1,Human
VEGFA,SIRPA,Human
GCG,GCGR,Human
IFNE,ADGRV1,Human
CGA,FSHR,Human
FSHB,FSHR,Human
NLGN1,NRXN1,Human
SYTL3,NRXN1,Human
LAMA2,ITGA6,Human
ADAM9,ITGA6,Human
ADM,CALCRL,Human
CALCB,CALCRL,Human
SLIT2,DCC,Human
IRAK4,TLR6,Human
FGF21,FGFR1,Human
FGF1,FGFR1,Human
NCAM1,FGFR1,Human
FGF16,FGFR1,Human
FGF12,FGFR1,Human
PDYN,OPRM1,Human
PRG4,CD44,Human
FGF1,CD44,Human
VIM,CD44,Human
RGMA,BMPR1B,Human
VEGFC,CCBE1,Human
SEMA4D,PLXNB2,Human
FGF21,FGFR2,Human
FGF1,FGFR2,Human
NCAM1,FGFR2,Human
FGF12,FGFR2,Human
CXCL17,GPR35,Human
CCL5,ACKR2,Human
CCL14,ACKR2,Human
CCL3,ACKR2,Human
CCL23,ACKR2,Human
CCL3L3,ACKR2,Human
CCL4,ACKR2,Human
SLIT2,ROBO2,Human
B2M,HFE,Human
RGMA,HFE,Human
NCAM1,ROBO1,Human
SLIT2,ROBO1,Human
RGMA,TFR2,Human
PPY,NPY5R,Human
NTF4,NTRK1,Human
B2M,CD3G,Human
B2M,KLRC1,Human
PTHLH,TSHR,Human
ADCYAP1,TSHR,Human
CGA,TSHR,Human
CCL5,CCR3,Human
CCL14,CCR3,Human
CCL3,CCR3,Human
CCL15,CCR3,Human
CCL4,CCR3,Human
CCL18,CCR3,Human
SPON2,ITGAM,Human
GDF10,ACVR1B,Human
ADCYAP1,GPR84,Human
CGA,GPR84,Human
ASIP,MC1R,Human
VEGFA,ITGB3,Human
APELA,APLNR,Human
VEGFA,GRIN2B,Human
Wnt3,Fzd6,Mouse
Wnt3,Egfr,Mouse
Wnt3,Fzd2,Mouse
Wnt3,Lrp5,Mouse
Wnt3,Fzd1,Mouse
Wnt3,Fzd3,Mouse
Wnt3,Fzd8,Mouse
Wnt3,Ror1,Mouse
Wnt3,Lrp6,Mouse
Wnt3,Ror2,Mouse
Wnt3,Fzd5,Mouse
Wnt3,Fzd7,Mouse
Wnt9a,Egfr,Mouse
Wnt9a,Fzd9,Mouse
Wnt9a,Fzd4,Mouse
Wnt9a,Fzd7,Mouse
Fgf23,Fgfr1,Mouse
Fgf23,Fgfr4,Mouse
Fgf23,Fgfr2,Mouse
Fgf23,Fgfr3,Mouse
Fgf23,Kl,Mouse
Fgf6,Fgfr1,Mouse
Fgf6,Fgfr4,Mouse
Fgf6,Fgfr2,Mouse
Fgf6,Fgfr3,Mouse
Ccl2,Ccr4,Mouse
Ccl2,Ccr2,Mouse
Ccl2,Ackr1,Mouse
Ccl2,Ackr2,Mouse
Ccl12,Ccr4,Mouse
Ccl12,Ccr2,Mouse
Cdh1,Itgb7,Mouse
Cdh1,Egfr,Mouse
Cdh1,Fgfr1,Mouse
Cdh1,Ptprj,Mouse
Cdh1,Itgae,Mouse
Cdh1,Ptprm,Mouse
Cdh1,Igf1r,Mouse
Cdh1,Klrg1,Mouse
Ccl11,Ccr2,Mouse
Ccl11,Ccr5,Mouse
Ccl11,Ackr2,Mouse
Ccl11,Cxcr3,Mouse
Ccl11,Ccr3,Mouse
Ccl11,Ackr4,Mouse
Pdgfb,Lrp1,Mouse
Pdgfb,Pdgfra,Mouse
Pdgfb,Pdgfrb,Mouse
Fasl,Fas,Mouse
Il4,Il4ra,Mouse
Il4,Il2ra,Mouse
Il4,Tlr2,Mouse
Il4,Il2rg,Mouse
Il4,Il13ra1,Mouse
Il4,Il13ra2,Mouse
Ccl3,Ccr1,Mouse
Ccl3,Ccr5,Mouse
Ccl3,Ackr2,Mouse
Ccl3,Ccr3,Mouse
Icam4,Itgav,Mouse
Icam4,Itgam,Mouse
S100a4,Egfr,Mouse
S100a4,Erbb2,Mouse
Icam2,Itgal,Mouse
Icam2,Itgam,Mouse
Efnb2,Ephb2,Mouse
Efnb2,Epha3,Mouse
Efnb2,Epha4,Mouse
Efnb2,Ephb3,Mouse
Efnb2,Epha7,Mouse
Efnb2,Ephb4,Mouse
Efnb2,Epha6,Mouse
Efnb2,Ephb6,Mouse
Efnb2,Ephb1,Mouse
Sost,Lrp6,Mouse
Sost,Lrp5,Mouse
Col1a1,Itgb1,Mouse
Col1a1,Cd44,Mouse
Col1a1,Cd93,Mouse
Il16,Grin2c,Mouse
Il16,Kcnj4,Mouse
Il16,Grin2d,Mouse
Il16,Kcna3,Mouse
Il16,Kcnd2,Mouse
Il16,Kcnj15,Mouse
Il16,Kcnd1,Mouse
Il16,Cd4,Mouse
Il16,Kcnj10,Mouse
Angptl4,Gpihbp1,Mouse
Bmp8b,Acvr2b,Mouse
Bmp8b,Bmpr1b,Mouse
Bmp8b,Acvr2a,Mouse
Bmp8b,Tgfbr2,Mouse
Bmp8b,Bmpr2,Mouse
Bmp8b,Bmpr1a,Mouse
Tgfb1,Tgfbr1,Mouse
Tgfb1,Itgb1,Mouse
Tgfb1,Eng,Mouse
Tgfb1,Sdc2,Mouse
Tgfb1,Tgfbr3,Mouse
Tgfb1,Tgfbr2,Mouse
Tgfb1,Itgb8,Mouse
Shh,Cdon,Mouse
Shh,Pvr,Mouse
Shh,Ptch1,Mouse
Shh,Lrp2,Mouse
Shh,Hhip,Mouse
Shh,Gpc1,Mouse
Shh,Gpc6,Mouse
Shh,Cav1,Mouse
Shh,Gas1,Mouse
Shh,Ptch2,Mouse
Pspn,Gfra4,Mouse
Pspn,Ret,Mouse
Lamb1,Itga6,Mouse
Lamb1,Itgb1,Mouse
Efna2,Epha10,Mouse
Efna2,Epha3,Mouse
Efna2,Epha4,Mouse
Efna2,Epha7,Mouse
Efna2,Epha6,Mouse
Efna2,Epha8,Mouse
Efna2,Epha1,Mouse
Efna2,Epha2,Mouse
Efna2,Epha5,Mouse
Ebi3,Il6st,Mouse
Ebi3,Il27ra,Mouse
Comp,Itgav,Mouse
Comp,Notch1,Mouse
Comp,Notch3,Mouse
Comp,Cd47,Mouse
Comp,Itga7,Mouse
Comp,Cd36,Mouse
Tgfb3,Acvr1,Mouse
Tgfb3,Tgfbr1,Mouse
Tgfb3,Eng,Mouse
Tgfb3,Tgfbr3,Mouse
Tgfb3,Tgfbr2,Mouse
Gdf15,Egfr,Mouse
Gdf15,Tgfbr1,Mouse
Gdf15,Ret,Mouse
Gdf15,Tgfbr2,Mouse
Gdf15,Gfral,Mouse
Calr,Scarf1,Mouse
Calr,Lrp1,Mouse
Calr,Mpl,Mouse
Efnb3,Ephb2,Mouse
Efnb3,Epha4,Mouse
Efnb3,Ephb3,Mouse
Efnb3,Ephb6,Mouse
Efnb3,Ephb1,Mouse
Sst,Sstr3,Mouse
Sst,Sstr2,Mouse
Sst,Sstr4,Mouse
Sst,Sstr5,Mouse
Sst,Sstr1,Mouse
Pgf,Flt1,Mouse
Pgf,Nrp1,Mouse
Pgf,Nrp2,Mouse
Pgf,Egfr,Mouse
Ccl24,Ccr2,Mouse
Ccl24,Ackr2,Mouse
Ccl24,Ccr3,Mouse
Zp3,Egfr,Mouse
Zp3,Zp3r,Mouse
Shbg,Gprc6a,Mouse
App,Cd74,Mouse
App,Trpc6,Mouse
App,Dcc,Mouse
App,Lrp8,Mouse
App,Sorcs1,Mouse
App,Lrp4,Mouse
App,Casr,Mouse
App,Lrp2,Mouse
App,Tspan12,Mouse
App,Notch2,Mouse
App,Lrp10,Mouse
App,Gpr3,Mouse
App,Tspan15,Mouse
App,Cd47,Mouse
App,Fpr2,Mouse
App,Tnfrsf21,Mouse
App,Lrp1,Mouse
App,Vldlr,Mouse
App,Adra2a,Mouse
App,Notch1,Mouse
App,Lrp6,Mouse
App,Cav1,Mouse
App,Sorl1,Mouse
App,Drd3,Mouse
Agrp,Mc5r,Mouse
Agrp,Mc3r,Mouse
Agrp,Sdc3,Mouse
Tnfsf14,Ltbr,Mouse
Tnfsf14,Fas,Mouse
Tnfsf14,Tnfrsf14,Mouse
Trh,Trhr,Mouse
Prl7a2,Prlr,Mouse
Prl8a9,Prlr,Mouse
Prl8a1,Prlr,Mouse
Wnt10a,Fzd10,Mouse
Bmp7,Acvr1,Mouse
Bmp7,Acvr2b,Mouse
Bmp7,Bmpr1b,Mouse
Bmp7,Acvr2a,Mouse
Bmp7,Bmpr2,Mouse
Bmp7,Bmpr1a,Mouse
Ccl8,Ccr1,Mouse
Ccl8,Ccr8,Mouse
Ccl8,Ccr2,Mouse
Ccl8,Ccr5,Mouse
Ccl8,Ccr3,Mouse
Rarres2,Ccrl2,Mouse
Timp1,Cd63,Mouse
Timp1,Itgb1,Mouse
Timp1,Lrp1,Mouse
Wnt3a,Fzd2,Mouse
Wnt3a,Fzd3,Mouse
Wnt3a,Fzd8,Mouse
Wnt3a,Ptk7,Mouse
Wnt3a,Fzd6,Mouse
Wnt3a,Lrp5,Mouse
Wnt3a,Apcdd1,Mouse
Wnt3a,Fzd1,Mouse
Wnt3a,Lrp6,Mouse
Wnt3a,Fzd5,Mouse
Wnt3a,Fzd4,Mouse
Wnt3a,Fzd7,Mouse
Psen2,Notch2,Mouse
Wnt2,Fzd2,Mouse
Wnt2,Fzd9,Mouse
Wnt2,Fzd3,Mouse
Wnt2,Fzd8,Mouse
Wnt2,Lrp5,Mouse
Wnt2,Fzd1,Mouse
Wnt2,Fzd5,Mouse
Wnt2,Fzd4,Mouse
Wnt2,Fzd7,Mouse
Bmp5,Bmpr1b,Mouse
Bmp5,Bmpr2,Mouse
Bmp5,Bmpr1a,Mouse
Wnt8a,Fzd1,Mouse
Wnt8a,Ptk7,Mouse
Wnt8a,Lrp6,Mouse
Wnt8a,Fzd5,Mouse
Wnt8a,Fzd4,Mouse
Wnt8a,Fzd7,Mouse
Plg,Lrp2,Mouse
Plg,Plgrkt,Mouse
Plg,Igf2r,Mouse
Csf1,Csf1r,Mouse
Csf1,Flt4,Mouse
Ceacam16,Tectb,Mouse
Ceacam16,Tecta,Mouse
Dll1,Notch4,Mouse
Dll1,Notch2,Mouse
Dll1,Notch1,Mouse
Dll1,Notch3,Mouse
Mmp13,Lrp1,Mouse
Lama5,Itgb4,Mouse
Hspa8,Aqp2,Mouse
Cd34,Sell,Mouse
Cd274,Pdcd1,Mouse
Cd274,Cd80,Mouse
Lnx2,Cd8a,Mouse
Lnx2,Cxadr,Mouse
Il10,Il10ra,Mouse
Il10,Il10rb,Mouse
Prl5a1,Prlr,Mouse
Pyy,Npy5r,Mouse
Pyy,Npy1r,Mouse
Pyy,Dpp4,Mouse
Ppy,Npy2r,Mouse
Vtn,Itgb5,Mouse
Vtn,Itgav,Mouse
Vtn,Itga8,Mouse
Igfbp4,Lrp6,Mouse
Ada,Adora2b,Mouse
Ada,Dpp4,Mouse
Ada,Adora1,Mouse
Mmp9,Ephb2,Mouse
Mmp9,Tlr9,Mouse
Mmp9,Lrp1,Mouse
Mmp9,Tlr4,Mouse
Prl3c1,Prlr,Mouse
Mfng,Notch1,Mouse
Gdf9,Bmpr1b,Mouse
Gdf9,Acvr2a,Mouse
Gdf9,Bmpr2,Mouse
Gdf9,Acvr1c,Mouse
Gdf9,Bmpr1a,Mouse
Wnt9b,Lrp5,Mouse
Wnt9b,Lrp6,Mouse
Wnt9b,Fzd5,Mouse
Tnfsf13,Tnfrsf17,Mouse
Il3,Il2ra,Mouse
Il3,Il4ra,Mouse
Il3,Csf2rb2,Mouse
Il3,Il3ra,Mouse
Csf2,Csf2rb,Mouse
Csf2,Csf2ra,Mouse
Csf2,Sdc2,Mouse
Csf2,Csf1r,Mouse
Csf2,Csf3r,Mouse
Cxcl16,Cxcr6,Mouse
Ccl6,Ccr1,Mouse
Ccl4,Ccr1,Mouse
Ccl4,Ccr8,Mouse
Ccl4,Ccr5,Mouse
Ccl4,Ackr2,Mouse
Ccl4,Ccr3,Mouse
Ccl9,Ccr1,Mouse
Calm3,Grm7,Mouse
Calm3,Scn10a,Mouse
Calm3,Scn4a,Mouse
Calm3,Trpc5,Mouse
Calm3,Kcnq3,Mouse
Calm3,Adcy8,Mouse
Calm3,Mylk,Mouse
Icam5,Itgal,Mouse
Cd70,Cd27,Mouse
Sema6a,Plxna4,Mouse
Sema6a,Plxna2,Mouse
Vip,Npr3,Mouse
Vip,Dpp4,Mouse
Vip,Ramp2,Mouse
Vip,Vipr1,Mouse
Vip,Adcyap1r1,Mouse
Vip,Ramp1,Mouse
Vip,Ramp3,Mouse
Lama4,Itgb1,Mouse
Nts,Sort1,Mouse
Nts,Ntsr1,Mouse
Nts,Ntsr2,Mouse
Ccn2,Egfr,Mouse
Ccn2,Itga5,Mouse
Ccn2,Ntrk1,Mouse
Ccn2,Fgfr2,Mouse
Ccn2,Lrp6,Mouse
Ccn2,Itgam,Mouse
Ccn2,Lrp1,Mouse
Hsp90b1,Tlr9,Mouse
Hsp90b1,Lrp1,Mouse
Hsp90b1,Tlr2,Mouse
Hsp90b1,Tlr4,Mouse
Hsp90b1,Lrp6,Mouse
Fgf18,Fgfr1,Mouse
Fgf18,Fgfr2,Mouse
Fgf18,Fgfr3,Mouse
Madcam1,Itga4,Mouse
Fgf22,Fgfr1,Mouse
Fgf22,Fgfr2,Mouse
Il13,Il13ra2,Mouse
Il13,Il13ra1,Mouse
Il13,Il4ra,Mouse
Pomc,Mc2r,Mouse
Pomc,Mc4r,Mouse
Pomc,Oprm1,Mouse
Pomc,Mc3r,Mouse
Pomc,Mc1r,Mouse
Pomc,Mc5r,Mouse
Pomc,Oprd1,Mouse
Ccl7,Ccr1,Mouse
Ccl7,Ccr2,Mouse
Ccl7,Ccr5,Mouse
Ccl7,Ccr10,Mouse
Ccl7,Cxcr3,Mouse
Ccl7,Ccr3,Mouse
Tac4,Tacr1,Mouse
Gng4,Kcnj6,Mouse
Prl7d1,Prlr,Mouse
Prl2c5,Prlr,Mouse
Prl4a1,Prlr,Mouse
Edn1,Ednrb,Mouse
Edn1,Kel,Mouse
Edn1,Ednra,Mouse
Sema4d,Cd72,Mouse
Sema4d,Plxnb1,Mouse
Sema4d,Erbb2,Mouse
Sema4d,Met,Mouse
Sema4d,Plxnb2,Mouse
Sema4d,Plxna2,Mouse
Cxcl14,Cxcr4,Mouse
Il9,Il9r,Mouse
Thbs4,Notch1,Mouse
Fgf10,Fgfr1,Mouse
Fgf10,Fgfr2,Mouse
Fgf10,Fgfr3,Mouse
Nid2,Col13a1,Mouse
Plau,Lrp2,Mouse
Plau,Lrp1,Mouse
Plau,Mrc2,Mouse
Plau,Igf2r,Mouse
Vcl,Alk,Mouse
Arf4,Lrp2,Mouse
Fgf9,Fgfr1,Mouse
Fgf9,Fgfr2,Mouse
Fgf9,Fgfr3,Mouse
Tnfsf11,Lgr4,Mouse
Tnfsf11,Tnfrsf11b,Mouse
Tnfsf11,Itga2b,Mouse
Tnfsf11,Tnfrsf11a,Mouse
Clu,Lrp8,Mouse
Clu,Lrp2,Mouse
Clu,Vldlr,Mouse
Adam2,Itga6,Mouse
Adam2,Itgb1,Mouse
Adam2,Cd9,Mouse
Adam2,Itga9,Mouse
Fgf17,Fgfr1,Mouse
Fgf17,Fgfr2,Mouse
Fgf17,Fgfr3,Mouse
Gdnf,Gfra4,Mouse
Gdnf,Gfra3,Mouse
Gdnf,Gfra1,Mouse
Gdnf,Sdc3,Mouse
Gdnf,Ret,Mouse
Gdnf,Sorl1,Mouse
Angpt1,Itga5,Mouse
Angpt1,Tek,Mouse
Col2a1,Itgav,Mouse
Col2a1,Itga2b,Mouse
Col2a1,Itga2,Mouse
Col2a1,Itga1,Mouse
Col2a1,Mag,Mouse
Pla2g10,Pla2r1,Mouse
Ahsg,Insr,Mouse
Hrg,Erbb3,Mouse
Hrg,Erbb2,Mouse
Adipoq,Adipor1,Mouse
Adipoq,Adipor2,Mouse
Prl2a1,Prlr,Mouse
Pros1,Tyro3,Mouse
Wnt10b,Fzd8,Mouse
Wnt10b,Lrp6,Mouse
Wnt10b,Fzd5,Mouse
Wnt10b,Fzd4,Mouse
Wnt10b,Fzd7,Mouse
Wnt1,Lrp5,Mouse
Wnt1,Fzd1,Mouse
Wnt1,Fzd10,Mouse
Wnt1,Fzd9,Mouse
Wnt1,Fzd8,Mouse
Wnt1,Lrp6,Mouse
Wnt1,Fzd5,Mouse
Wnt1,Fzd7,Mouse
Npff,Npffr2,Mouse
Cxcl13,Cxcr5,Mouse
Cxcl13,Cxcr3,Mouse
Cxcl13,Ackr4,Mouse
Ccl25,Ccr9,Mouse
Ccl25,Ackr2,Mouse
Ccl25,Ackr4,Mouse
Guca2a,Gucy2c,Mouse
Bmp15,Bmpr1b,Mouse
Bmp15,Bmpr2,Mouse
Bmp15,Acvr1c,Mouse
Bmp15,Bmpr1a,Mouse
Gnb3,Kcnj6,Mouse
Crisp2,Catsper1,Mouse
Tff2,Muc6,Mouse
Ntn3,Dcc,Mouse
Ntn3,Neo1,Mouse
C3,Cd46,Mouse
C3,Cd55,Mouse
C3,Lrp1,Mouse
C3,C3ar1,Mouse
C3,Cr2,Mouse
C3,C5ar2,Mouse
C3,Cd19,Mouse
C3,Itgam,Mouse
C3,Cd81,Mouse
Tslp,Crlf2,Mouse
Apom,Lrp2,Mouse
Ltb,Tnfrsf1a,Mouse
Ltb,Ltbr,Mouse
Tnf,Rhbdf2,Mouse
Tnf,Tnfrsf1a,Mouse
Tnf,Tnfrsf1b,Mouse
Lta,Tnfrsf1a,Mouse
Lta,Tnfrsf14,Mouse
Lta,Ltbr,Mouse
Lta,Tnfrsf1b,Mouse
Hbegf,Erbb3,Mouse
Hbegf,Cd9,Mouse
Hbegf,Erbb2,Mouse
Hbegf,Erbb4,Mouse
