B cells,cDC cells,Endothelial cells,Fibroblasts,Macrophages M1,Macrophages M2,Mast cells,Monocytes,Myofibroblasts,NK cells,pDC cells,Plasma cells,T CD4 naive cells,T CD4 effector cells,T CD8 central memory cells,T CD8 effector cells,T CD8 effector memory cells,T CD8 exhausted cells,T CD8 naive cells,Tfh cells,Tprolifs,Th1 cells,Th17 cells,Th2 cells,Tregs,MAIT,T CD4 conventional cells
CMTM6,,ID1,TPM1,,,CCL1,TNFSF13B,,IL32,CXCR3,IL5RA,,,,,SYNE1,,SINHCAF,,,,,,LMNA,,
COCH,,IL3RA,TPM2,,,CCL20,APLP2,,IL7R,DCK,IRF4,,,,,TAGLN2,,SMAP2,,,,,,LRP1,,
COX7C,,ITGB4,TPST1,,,CSF2,GLIPR1,,ITGA1,DERL3,ITGA8,,,,,TBX21,,SNED1,,,,,,LRRC42,,
CR2,,JUP,VASN,,,CXCL3,ATP6V1F,,ITGA5,SLC15A4,JCHAIN,,,,,TGFBR3,,SNHG29,,,,,,LTA,,
CTSS,,KDR,MMP11,,,GZMB,IFITM3,,ITGAE,,JSRP1,,,,,TM4SF19,,SNHG32,,,,,,MARCO,,
CXCR4,,KLF4,TGFB3,,,HOXA1,NPC2,,ITGAM,,KCNMA1,,,,,TM4SF19-DYNLT2B,,SNURF,,,,,,METTL7A,,
CXCR5,,LDB2,,,,IL1A,CD53,,KIR2DL1,,KCNN3,,,,,TPST2,,SOCS3,,,,,,MMP12,,
CYBA,,LIMS3,,,,IL1B,COX5B,,KIR2DL3,,KDELR1,,,,,TTC16,,SPINT2,,,,,,MNDA,,
CYRIB,,LYVE1,,,,IL1RL1,ITGB2,,KIR2DL4,,KDELR2,,,,,TTC38,,SPTBN1,,,,,,MRC1,,
DENND5B,,LYVE1,,,,IL3,SERF2,,KIR2DS4,,KDELR3,,,,,USP28,,STMN3,,,,,,MS4A6A,,
DRAM2,,MALL,,,,IL5,CSTB,,KIR3DL1,,KRTCAP2,,,,,VCL,,TCF7,,,,,,NFATC3,,
DTNB,,MATN2,,,,LINC00597,EVI2B,,KIR3DL2,,LINC00582,,,,,VEZF1,,THAP7,,,,,,PDP1,,
EAF2,,MMRN1,,,,TEC,OAZ1,,KIR3DL3,,LINC01480,,,,,WDR37,,THEM4,,,,,,PELO,,
EBF1,,MMRN2,,,,,SERPINA1,,KIT,,LINC02362,,,,,ZEB2,,TMEM123,,,,,,PI16,,
EEF1A1,,MYCT1,,,,,FGR,,KLRB1,,LMAN1,,,,,ZEB2-AS1,,TMEM204,,,,,,PLEK,,
EEF1B2,,NOS3,,,,,FCGRT,,KLRC1,,LMAN2,,,,,ZNF600,,TMEM63A,,,,,,PPM1B,,
EEF1D,,NPDC1,,,,,CORO1A,,KLRC2,,LMF1,,,,,,,TNFSF8,,,,,,PRDM1,,
EIF4A2,,PDE2A,,,,,SH3BGRL3,,KLRC3,,LMTK3,,,,,,,TOMM7,,,,,,PRSS23,,
ERP29,,PD-ECGF,,,,,GSTO1,,KLRD1,,LYPD6B,,,,,,,TPCN1,,,,,,PTGIR,,
EVI2B,,PDGFA,,,,,HCST,,KLRF1,,MANEA,,,,,,,TRABD2A,,,,,,RNF214,,
FAIM3,,PD-L1,,,,,LGALS3,,KLRG1,,MANF,,,,,,,TRAP1,,,,,,RTKN2,,
FAM129C,,PECAM1,,,,,PGK1,,KLRK1,,MEI1,,,,,,,TRMT1,,,,,,S1PR4,,
FAM65B,,PIEZO1,,,,,ANXA1,,L1TD1,,MIXL1,,,,,,,TSHZ2,,,,,,SAMHD1,,
FAU,,PKP4,,,,,TMBIM6,,LAG3,,MOXD1,,,,,,,TXK,,,,,,SELPLG,,
FCER2,,PLA2G4C,,,,,SPI1,,LDB3,,MYDGF,,,,,,,UBQLN2,,,,,,SIT1,,
FCGR2A,,PLVAP,,,,,FXYD5,,LTB,,MYL2,,,,,,,VIPR1,,,,,,SMAD2,,
FCGR2B,,PODXL,,,,,ATP6V0B,,MAPRE3,,MZB1,,,,,,,WDR43,,,,,,SMAD4,,
FCMR,,PPM1F,,,,,CTSH,,MCM3AP,,NXPE4,,,,,,,ZNF101,,,,,,SNX20,,
FCRL1,,PRCP,,,,,HLA-DQB1,,MKI67,,PAIP2B,,,,,,,,,,,,,SOCS1,,
FCRL2,,PTPRB,,,,,PYCARD,,MME,,PARM1,,,,,,,,,,,,,ST8SIA4,,
FCRL3,,PVRL2,,,,,TSPO,,MRC2,,PDIA4,,,,,,,,,,,,,STAB1,,
FCRL5,,RAI14,,,,,PFN1,,MXRA8,,PDIA6,,,,,,,,,,,,,STAM,,
FCRLA,,RAMP2,,,,,ARPC3,,NCAM1,,PERP,,,,,,,,,,,,,STAT5A,,
FMC7,,RAMP3,,,,,FOS,,NCR1,,PIK3CD-AS2,,,,,,,,,,,,,STAT5B,,
FRK,,RASA4,,,,,PSAP,,NCR2,,PLA2G2D,,,,,,,,,,,,,TBC1D4,,
GAPT,,RBP1,,,,,BTG1,,NCR3,,PLAAT2,,,,,,,,,,,,,TIGIT,,
GLDC,,RGL2,,,,,ANXA5,,NKG7,,PRDX4,,,,,,,,,,,,,TLDC2,,
GMFG,,RGS16,,,,,GABARAP,,NMUR1,,PRSS16,,,,,,,,,,,,,TNFRSF4,,
GNG7,,RHOJ,,,,,S100A8,,PDCD1,,RABAC1,,,,,,,,,,,,,TNFRSF9,,
GPR18,,ROBO4,,,,,MS4A7,,PDLIM4,,RASGRP3,,,,,,,,,,,,,TRIM16,,
GPR183,,S1PR1,,,,,MT2A,,PRF1,,SCNN1B,,,,,,,,,,,,,TTC39C,,
GTF3A,,SDPR,,,,,HLA-DPA1,,PRSS23,,SDC1,,,,,,,,,,,,,TTN,,
GUSBP11,,SELE,,,,,TKT,,PRX,,SDF2L1,,,,,,,,,,,,,UBE4A,,
HHEX,,SEMA3A,,,,,TPP1,,PSMD4,,SEC11C,,,,,,,,,,,,,USP15,,
HLA-A,,SLCO2A1,,,,,BLOC1S1,,PTGDR,,SELENOS,,,,,,,,,,,,,VPS54,,
HLA-DMA,,SMAD1,,,,,FTL,,PTPRC,,SLAMF7,,,,,,,,,,,,,ZCCHC8,,
HLA-DOB,,SOX18,,,,,TYMP,,RAX,,SPACA3,,,,,,,,,,,,,ZFYVE9,,
HLA-DPA1,,STAB2,,,,,SH3BGRL,,SAMD3,,SPAG4,,,,,,,,,,,,,BARX2,,
HLA-DPB1,,SYT15,,,,,B2M,,SELL,,SPATS2,,,,,,,,,,,,,BCL11B,,
HLA-DQA1,,TEK,,,,,MCL1,,SH2D1B,,SPCS2,,,,,,,,,,,,,CD2,,
HLA-DQB1,,TEM7,,,,,TNFRSF1B,,SLC30A5,,SPCS3,,,,,,,,,,,,,CD247,,
HLA-DRA,,TEM8,,,,,CD63,,SLC3A2,,SSR3,,,,,,,,,,,,,CD3G,,
HLA-DRB1,,TFPI,,,,,HLA-DRA,,SPON2,,TGFBR3L,,,,,,,,,,,,,CD6,,
HVCN1,,TGFBR2,,,,,SAT1,,STMN1,,TMED9,,,,,,,,,,,,,CD96,,
IFNA10,,TGM2,,,,,LAPTM5,,STYK1,,TNFRSF17,,,,,,,,,,,,,CEMP1,,
IGHA1,,THBD,,,,,CLEC7A,,TBX21,,TUBB2B,,,,,,,,,,,,,CLEC2D,,
IGHA2,,THSD1,,,,,S100A9,,TBXA2R,,TXNDC11,,,,,,,,,,,,,DGKA,,
IGHD,,THSD7A,,,,,DUSP1,,TCTN2,,TXNDC15,,,,,,,,,,,,,DPP4,,
IGHG1,,TIE1,,,,,CYBB,,TESC,,TXNDC5,,,,,,,,,,,,,EFNA5,,
IGHG2,,TIE,,,,,AIF1,,TINAGL1,,UBE2J1,,,,,,,,,,,,,FRMD8,,
IGHG3,,TM4SF18,,,,,ACTG1,,TMIGD2,,UGT2B17,,,,,,,,,,,,,GPR1,,
IGHG4,,EDP1,,,,,CD52,,TNF,,WNT10A,,,,,,,,,,,,,GPR171,,
IGHM,,TNFRSF10A,,,,,SOD2,,TNFRSF18,,XBP1,,,,,,,,,,,,,GPR19,,
IGHV5-78,,TNFRSF10B,,,,,H2AFY,,TNFRSF9,,ANGPT4,,,,,,,,,,,,,GZMM,,
IGJ,,TNFRSF1A,,,,,NCF2,,TNFSF10,,ATXN8OS,,,,,,,,,,,,,HIC1,,
IGKC,,TNFRSF1B,,,,,IFI30,,TP53TG5,,C11orf80,,,,,,,,,,,,,HMGB3P30,,
IGL,,TSPAN15,,,,,NAP1L1,,TRAC,,DENND5B,,,,,,,,,,,,,IL2RA,,
IGLL3P,,TSPAN18,,,,,LYN,,TRD,,EAF2,,,,,,,,,,,,,IL2RB,,
IL10,,TSPAN7,,,,,GPSM3,,TRDC,,FCRL2,,,,,,,,,,,,,ITK,,
IL4R,,VCAM1,,,,,HCLS1,,TRG,,GNG7,,,,,,,,,,,,,KIRREL,,
IL6,,VEGF,,,,,FCER1AG,,TRGC1,,GPR25,,,,,,,,,,,,,LCK,,
IL7,,VEGFR,,,,,CD68,,TRGC2,,HIST1H2AE,,,,,,,,,,,,,LILRA4,,
IRF8,,KDR,,,,,WSB1,,TYROBP,,HIST1H2BG,,,,,,,,,,,,,LOC126987,,
ITGB1,,FLT4,,,,,TMSB10,,XCL1,,HLA-DOB,,,,,,,,,,,,,LTB,,
ITSN2,,VG5Q,,,,,CD44,,XCL2,,IGHE,,,,,,,,,,,,,MAP4K1,,
JCHAIN,,VWF,,,,,ZEB2,,ZBTB16,,KCNA3,,,,,,,,,,,,,MBL2,,
JUNB,,ZNF521,,,,,CD74,,ZFP36,,KCNG2,,,,,,,,,,,,,NPAS1,,
KIAA0125,,ENG,,,,,FCN1,,ZNF205,,LIME1,,,,,,,,,,,,,NTN3,,
KIAA0226L,,,,,,,S100A11,,ZNF528,,LOC100130100,,,,,,,,,,,,,PCDHA5,,
LAPTM5,,,,,,,LITAF,,ZNF683,,MAN1A1,,,,,,,,,,,,,PLCH2,,
LILRA4,,,,,,,ARPC1B,,ZNF747,,MAST1,,,,,,,,,,,,,PMCH,,
LIMD2,,,,,,,RAB31,,Grand Total,,MROH7,,,,,,,,,,,,,PTPRG,,
LINC00921,,,,,,,PKM,,,,P2RX5,,,,,,,,,,,,,RCAN3,,
LINC00926,,,,,,,LCP1,,,,PAX7,,,,,,,,,,,,,RYR1,,
LOC100507616,,,,,,,NFKBIA,,,,PDK1,,,,,,,,,,,,,SEC31B,,
LTB,,,,,,,,,,,PNOC,,,,,,,,,,,,,SH2D1A,,
LY86,,,,,,,,,,,REN,,,,,,,,,,,,,SIRPG,,
LY9,,,,,,,,,,,RGS13,,,,,,,,,,,,,SKAP1,,
MBL2,,,,,,,,,,,RPL3P7,,,,,,,,,,,,,SPOCK2,,
MEF2C,,,,,,,,,,,SIK1,,,,,,,,,,,,,SSX1,,
MEP1A,,,,,,,,,,,ST6GALNAC4,,,,,,,,,,,,,TRAC,,
MICAL3,,,,,,,,,,,TGM5,,,,,,,,,,,,,TRAT1,,
MKI67,,,,,,,,,,,TMEM156,,,,,,,,,,,,,TRAV9-2,,
MME,,,,,,,,,,,ZBP1,,,,,,,,,,,,,TRBC1,,
MS4A1,,,,,,,,,,,ZNF165,,,,,,,,,,,,,TYR,,
MT-CO1,,,,,,,,,,,,,,,,,,,,,,,,UBASH3A,,
MZB1,,,,,,,,,,,,,,,,,,,,,,,,ZAP70,,
NCF1,,,,,,,,,,,,,,,,,,,,,,,,FOXO1,,
NFKBIA,,,,,,,,,,,,,,,,,,,,,,,,FOXO3,,
NIPSNAP3B,,,,,,,,,,,,,,,,,,,,,,,,IL10RA,,
NMBR,,,,,,,,,,,,,,,,,,,,,,,,,,
NOP10,,,,,,,,,,,,,,,,,,,,,,,,,,
NOP53,,,,,,,,,,,,,,,,,,,,,,,,,,
NPIPB15,,,,,,,,,,,,,,,,,,,,,,,,,,
NPM1,,,,,,,,,,,,,,,,,,,,,,,,,,
NR4A1,,,,,,,,,,,,,,,,,,,,,,,,,,
OAZ1,,,,,,,,,,,,,,,,,,,,,,,,,,
OSBPL10,,,,,,,,,,,,,,,,,,,,,,,,,,
OSTF1,,,,,,,,,,,,,,,,,,,,,,,,,,
P2RX5,,,,,,,,,,,,,,,,,,,,,,,,,,
P2RY14,,,,,,,,,,,,,,,,,,,,,,,,,,
PABPC1,,,,,,,,,,,,,,,,,,,,,,,,,,
PAIP2,,,,,,,,,,,,,,,,,,,,,,,,,,
PAPOLA,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX5,,,,,,,,,,,,,,,,,,,,,,,,,,
PFDN5,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAC8,,,,,,,,,,,,,,,,,,,,,,,,,,
PLCG2,,,,,,,,,,,,,,,,,,,,,,,,,,
PLEKHF2,,,,,,,,,,,,,,,,,,,,,,,,,,
PLPP5,,,,,,,,,,,,,,,,,,,,,,,,,,
PMAIP1,,,,,,,,,,,,,,,,,,,,,,,,,,
PNOC,,,,,,,,,,,,,,,,,,,,,,,,,,
POLD4,,,,,,,,,,,,,,,,,,,,,,,,,,
POU2AF1,,,,,,,,,,,,,,,,,,,,,,,,,,
POU2F2,,,,,,,,,,,,,,,,,,,,,,,,,,
PPP1R2,,,,,,,,,,,,,,,,,,,,,,,,,,
PSG2,,,,,,,,,,,,,,,,,,,,,,,,,,
PTPRC,,,,,,,,,,,,,,,,,,,,,,,,,,
PTPRCAP,,,,,,,,,,,,,,,,,,,,,,,,,,
PYM1,,,,,,,,,,,,,,,,,,,,,,,,,,
QRSL1,,,,,,,,,,,,,,,,,,,,,,,,,,
RAC2,,,,,,,,,,,,,,,,,,,,,,,,,,
RACK1,,,,,,,,,,,,,,,,,,,,,,,,,,
RALGPS2,,,,,,,,,,,,,,,,,,,,,,,,,,
RASGRP2,,,,,,,,,,,,,,,,,,,,,,,,,,
RHOH,,,,,,,,,,,,,,,,,,,,,,,,,,
RNASET2,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL10,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL11,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL12,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL13,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL13A,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL14,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL15,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL18,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL18A,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL19,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL21,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL22,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL23,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL23A,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL26,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL27,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL27A,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL28,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL29,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL3,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL30,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL32,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL34,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL35A,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL36,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL36A,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL37,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL37A,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL38,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL39,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL4,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL41,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL5,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL6,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL7,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL7A,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL8,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL9,,,,,,,,,,,,,,,,,,,,,,,,,,
RPLP1,,,,,,,,,,,,,,,,,,,,,,,,,,
RPLP2,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS10,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS12,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS13,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS14,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS15,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS15A,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS18,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS19,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS2,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS21,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS23,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS24,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS25,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS26,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS27,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS27A,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS28,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS29,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS3,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS3A,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS4X,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS4Y1,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS5,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS6,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS7,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS8,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS9,,,,,,,,,,,,,,,,,,,,,,,,,,
RPSA,,,,,,,,,,,,,,,,,,,,,,,,,,
RPSAP58,,,,,,,,,,,,,,,,,,,,,,,,,,
RSRP1,,,,,,,,,,,,,,,,,,,,,,,,,,
S1PR4,,,,,,,,,,,,,,,,,,,,,,,,,,
SCN3A,,,,,,,,,,,,,,,,,,,,,,,,,,
SELL,,,,,,,,,,,,,,,,,,,,,,,,,,
SIK1,,,,,,,,,,,,,,,,,,,,,,,,,,
SIT1,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC12A1,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC15A2,,,,,,,,,,,,,,,,,,,,,,,,,,
SMDT1,,,,,,,,,,,,,,,,,,,,,,,,,,
SNHG8,,,,,,,,,,,,,,,,,,,,,,,,,,
SNX2,,,,,,,,,,,,,,,,,,,,,,,,,,
SNX22,,,,,,,,,,,,,,,,,,,,,,,,,,
SP140,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIB,,,,,,,,,,,,,,,,,,,,,,,,,,
SSR1,,,,,,,,,,,,,,,,,,,,,,,,,,
STAP1,,,,,,,,,,,,,,,,,,,,,,,,,,
STK4,,,,,,,,,,,,,,,,,,,,,,,,,,
SWAP70,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGLN2,,,,,,,,,,,,,,,,,,,,,,,,,,
TBC1D10C,,,,,,,,,,,,,,,,,,,,,,,,,,
TBX21,,,,,,,,,,,,,,,,,,,,,,,,,,
TCF4,,,,,,,,,,,,,,,,,,,,,,,,,,
TCL1A,,,,,,,,,,,,,,,,,,,,,,,,,,
TLR10,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM156,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM243,,,,,,,,,,,,,,,,,,,,,,,,,,
TNFRSF13B,,,,,,,,,,,,,,,,,,,,,,,,,,
TNFRSF13C,,,,,,,,,,,,,,,,,,,,,,,,,,
TNFRSF17,,,,,,,,,,,,,,,,,,,,,,,,,,
TPD52,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAF4,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIM22,,,,,,,,,,,,,,,,,,,,,,,,,,
TSC22D3,,,,,,,,,,,,,,,,,,,,,,,,,,
UBA52,,,,,,,,,,,,,,,,,,,,,,,,,,
UGT1A8,,,,,,,,,,,,,,,,,,,,,,,,,,
VPREB3,,,,,,,,,,,,,,,,,,,,,,,,,,
WDR74,,,,,,,,,,,,,,,,,,,,,,,,,,
XBP1,,,,,,,,,,,,,,,,,,,,,,,,,,
YBX3,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAP70,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB32,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCCHC7,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNF286A,,,,,,,,,,,,,,,,,,,,,,,,,,
